"description","dataelement_formname","dataelement_uid",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 8. Neonatal resuscitation/Penguin sucker","fKEozr49U6A",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 8. Neonatal resuscitation/Penguin sucker","fKEozr49U6A",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 9. Blood transfusion","GHeLIbrkEm1",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 9. Blood transfusion","GHeLIbrkEm1",
,"11.2.4 9. Caesarean section","hGlqXSFsLPW",
,"11..2.5 1. Are the national guidelines for Integrated Management of Pregnancy and Childbirth (IMPAC) available for reference?","Lj8VSKkEJGh",
,"11..2.5 1. Are the national guidelines for Integrated Management of Pregnancy and Childbirth (IMPAC) available for reference?","Lj8VSKkEJGh",
,"11.2.5 1. Are the national guidelines for Integrated Management of Pregnancy and Childbirth (IMPAC) available for reference?","TdTOIL5Rrmm",
,"11.2.5 1. Are the national guidelines for Integrated Management of Pregnancy and Childbirth (IMPAC) available for reference?","kXSHJ43Q502",
,"11.2.6 1. Have any of the providers have had training on BEoMNC in the last 2 years.","vpdDatAe8tV",
,"11.2.6 1. Have any of the providers have had training on CEoMNC in the last 2 years.","NYNQQNu7epq",
,"11.2.6 1. Haveany of the providers have had training on CEoMNC in the last 2 years.","VDnUstv3uKk",
,"11.2.6 1. Haveany of the providers have had training on CEoMNC in the last 2 years.","VDnUstv3uKk",
,"11.2.7 1. Establish that five partographs of mothers are filled correctly","R7Wj76pPFgj",
,"11.2.7 1. Establish that five partographs of mothers are filled correctly","IZ0O4GRUnTW",
,"11.2.7 1. Establish that five partographs of mothers are filled correctly","R7Wj76pPFgj",
,"11.2.7 1. Establish that three partograms of mothers are filled correctly","GCtYmfhV1e3",
,"11.2.8 1. Establish from records that maternal audit is being performed","bW8rHHaqonX",
,"11.2.8 1. Establish from records that maternal audit is being performed","pPaHe12HNrH",
,"11.2.8 Establish from records that maternal audit is being performed","oNnHSJCvaOW",
,"11.2.9 1. Ask if the staff are trained to provide quality growth monitoring according to IMCI guideline","VkxIKKUiC2L",
"Observe if child growth monitoring services-are provided according to guidelines","11.2.9 1. Ask if the staff are trained to provide quality growth monitoring according to IMCI guideline","K7GpYE9lhDN",
"Observe if child growth monitoring services-are provided according to guidelines","11.2.9 1. Ask if the staff are trained to provide quality growth monitoring according to IMCI guideline","K7GpYE9lhDN",
"Observe if child growth monitoring services are provided according to guidelines","11.2.9 1. Ask if the staff are trained to provide quality growth monitoring according to IMCI guideline","j8KbRcGQpuc",
,"11.2.9 2. Check if five child growth charts are filled properly","QyZ188FwRv5",
,"11.2.9 2. Check if five child growth charts are filled properly","USKM2vLxKdG",
"Observe if child growth monitoring services-are provided according to guidelines","11.2.9 2. Check if five child growth charts are filled properly","jR8MYEl2Ykq",
"Observe if child growth monitoring services-are provided according to guidelines","11.2.9 2. Check if five child growth charts are filled properly","jR8MYEl2Ykq",
"Review patient files or MTUHA 14 for two tracer conditions (3 files or 3 entries per tracer condition) for the following conditions /to verify adherence to treatment guidelines","11.3.1 1. is severe malaria treated according to standard treatment guidelines?","LIjLTP6Hryt",
"Review patient files or MTUHA 14 for two tracer conditions (3 files or 3 entries per tracer condition) for the following conditions /to verify adherence to treatment guidelines","11.3.1 1. is severe malaria treated according to standard treatment guidelines?","LIjLTP6Hryt",
,"11.3.1 1. Severe malaria treated according to standard treatment guidelines","tQyyxIiwmhM",
"Review patient files or MTUHA 14 for two tracer conditions (3 files or 3 entries per tracer condition) for the following conditions /to verify adherence to treatment guidelines","11.3.1 2. Is severe pneumonia treated according to standard treatment guidelines?","tmWNTzoJcil",
"Review patient files or MTUHA 14 for two tracer conditions (3 files or 3 entries per tracer condition) for the following conditions /to verify adherence to treatment guidelines","11.3.1 2. Is severe pneumonia treated according to standard treatment guidelines?","tmWNTzoJcil",
,"11.3.1 2.Severe pneumonia treated according to standard treatment guidelines","ATjKVtsF0WD",
"Verify that the member of staff is a pharmacy assistant.","12.1.1 1. Is the main dispensing point staffed by a qualified pharmaceutical cadre on the day of assessment?","yGsmjhU9ZNb",
"Verify that the member of staff is a pharmacy assistant.-","12.1.1 1. Is the main dispensing point staffed by a qualified pharmaceutical cadre on the day of assessment?","Qsxfodri2X1",
"Verify that the member of staff is a pharmacy technician or pharmacy assistant.","12.1.1 1. Is the main dispensing point staffed by a qualified pharmaceutical cadre on the day of assessment?","fi48ohAPcwd",
"Verify that the member of staff is a pharmacy assistant.-","12.1.1 1. Is the main dispensing point staffed by a qualified pharmaceutical cadre on the day of assessment?","Qsxfodri2X1",
"Check that space is adequate, organised for work flow and patient counselling, furnished with dispensing bench and stool,","12.1.2 1. Is there a dedicated area, organised with necessary tools and equipment for dispensing?","tVhatMnD5m0",
"Check that space is adequate, organised for work flow and patient counseling, furnished with dispensing bench and stool, equipped with counting trays and measures.  Yes","12.1.2 1. Is there a dedicated area, organised with necessary tools and equipment for dispensing?","hfnowKiuGkH",
"Check that space is adequate, organised for work flow and patient counselling, furnished with dispensing bench and stool, equipped with counting trays  and measures.","12.1.2 1. Is there a dedicated area, organised with necessary tools and equipment for dispensing?","DzF1BJhArIT",
"Check that space is adequate, organised for work flow and patient counselling, furnished with dispensing bench and stool,","12.1.2 1. Is there a dedicated area, organised with necessary tools and equipment for dispensing?","tVhatMnD5m0",
"See checklist for adequate-SOP-content below.","12.1.2 2. Are there adequate SOPs for dispensing and displayed for reference?","QlV93g4WZCC",
"See checklist for adequate-SOP-content below.","12.1.2 2. Are there adequate SOPs for dispensing and displayed for reference?","QlV93g4WZCC",
"See checklist for adequate SOP content below.","12.1.2 2. Are there adequate SOPs for dispensing and displayed for reference?","OOt9ejb3XZd",
"See checklist for adequate SOP content below.","12.1.2 2. Are there adequate SOPs for dispensing and displayed for reference?","gxnCAMKfHpr",
"Tick box for every case that complies.","12.1.2 3. Observe three cases to check if dispensing complies with SOP","hI4k7JHVK9q",
"Tick box for every case that complies.","12.1.2 3. Observe three cases to check if dispensing complies with SOP","hI4k7JHVK9q",
"Tick box for every case that complies.","12.1.2 3. Observe three cases to check if dispensing complies with SOP.","kEVUXjNsZLP",
"Tick box for every case that complies.  Checklist for adequate SOP       SOP compliance will ensure:","12.1.2 3. Observe three cases to check if dispensing complies with SOP.","utZjHEx4xDR",
"Physically verify that the tracer is available for issue to clients. If available, tick box in column (a) in the checklist below.-","12.1.3 1. Are ten tracer medicines and health products or specified therapeutic equivalent available on the day of assessment?","rGp9vdfN41C",
"Physically verify that the tracer is available for issue to clients. If available, tick box in column (a) in the checklist below.","12.1.3 1. Are ten tracer medicines and health products or specified therapeutic equivalent available on the day of assessment?","D7JcBxsD5J2",
"Physically verify that the tracer is available for issue to clients. If avai","12.1.3 1. Are ten tracer medicines and health products or specified therapeutic equivalent available on the day of assessment?","Bo6TBNJbVHz",
"Physically verify that the tracer is available for issue to clients. If available, tick box in column (a) in the checklist below.-","12.1.3 1. Are ten tracer medicines and health products or specified therapeutic equivalent available on the day of assessment?","rGp9vdfN41C",
"For each of the selected tracer products, check the entries in the dispensing and injection registerfor the previous day. It should be possible to cross-check the entries in the dispensing and injection register with the medicines prescribed for those clients, e.g. in the outpatient register. If yes, tick box in column (b)","12.1.4 1. Are registers are properly completed for medicines dispensed or administered to clients, and auditable?","BRRWPgSGA3w",
"For each of the selected tracer products, check the-entries in the dispensing and injection registerfor the","12.1.4 1. Are registers are properly completed for medicines dispensed or administered to clients, and auditable?","gGtFfqkJkqN",
"For each of the selected tracer products, check the-entries in the dispensing and injection registerfor the","12.1.4 1. Are registers are properly completed for medicines dispensed or administered to clients, and auditable?","gGtFfqkJkqN",
"For each of the selected tracer products, check the entries in the dispensing and injection register for the previous day. It should be possible to cross-check the entries in the dispensing and injection register with the medicines prescribed for those clients, e.g. in the outpatient register. If yes, tick box in column (b)","12.1.4 1. Are registers are properly completed for medicines dispensed or administered to clients, and auditable?","FnD3aP37AeP",
"Select 5 outpatient cases and check that all fees and charges for medicines are receipted, and any exemption  criteria are recorded.","12.1.4  2. Fees and exemption policy followed?","VxI88flf5uL",
"Select 5 outpatient cases and check that all fees and-charges for medicines are receipted, and any-exemption","12.1.4 2. Fees and exemption policy followed?","SplA0feRG1B",
"Select 5 outpatient cases and check that all fees and-charges for medicines are receipted, and any-exemption","12.1.4 2. Fees and exemption policy followed?","SplA0feRG1B",
"Select 5 outpatient cases and check that all fees and charges for medicines are receipted, and any exemption criteria are recorded","12.1.4 2. Fees and exemption policy followed?","rTuTMVuNb9S",
"Physically count the number of units of stock on hand, and then verify against the balance on the stock record. If the balance is verified correct, tick in column (c). Yes Physically count the number of units of stock on hand, and then verify against the balance on the stock record. If the balance is verified correct, tick in column (c)","12.1.5   1. Is the stock record updated according to Integrated Logistic System guidelines for all three tracers?","wNIM6VSxyoL",
,"12.1.5 1. Is the stock record updated according to Integrated Logistic System guidelines for all three tracers?","ne58ubOys9Y",
